"Sample_no","Rotation","Rotation_code","Prev_crop"
179,"m.m.p.m.m.p","3","p"
180,"p.p.p.p.p.p","6","p"
181,"0.m.p.m.p.m","2","m"
182,"p.p.p.p.p.p","6","p"
183,"0.m.p.m.p.m","2","m"
184,"0.m.p.m.p.m","2","m"
185,"m.m.p.m.m.p","3","p"
186,"p.p.p.p.p.p","6","p"
187,"0.m.p.m.p.m","2","m"
188,"m.m.p.m.m.p","3","p"
189,"p.p.p.p.p.p","6","p"
190,"p.p.p.p.p.p","6","p"
191,"m.m.p.m.m.p","3","p"
192,"0.m.p.m.p.m","2","m"
193,"p.p.p.p.p.p","6","p"
194,"m.m.p.m.m.p","3","p"
195,"0.m.p.m.p.m","2","m"
196,"p.p.p.p.p.p","6","p"
197,"p.p.p.p.p.p","6","p"
198,"0.m.p.m.p.m","2","m"
199,"m.m.p.m.m.p","3","p"
200,"0.m.p.m.p.m","2","m"
201,"0.m.p.m.p.m","2","m"
202,"p.p.p.p.p.p","6","p"
203,"m.m.p.m.m.p","3","p"
204,"p.p.p.p.p.p","6","p"
205,"p.p.p.p.p.p","6","p"
206,"m.m.p.m.m.p","3","p"
207,"m.m.p.m.m.p","3","p"
208,"p.p.p.p.p.p","6","p"
209,"0.m.p.m.p.m","2","m"
210,"m.m.p.m.m.p","3","p"
211,"0.m.p.m.p.m","2","m"
212,"p.p.p.p.p.p","6","p"
213,"0.m.p.m.p.m","2","m"
214,"m.m.p.m.m.p","3","p"
215,"m.m.p.m.m.p","3","p"
216,"0.m.p.m.p.m","2","m"
217,"m.m.p.m.m.p","3","p"
218,"0.m.p.m.p.m","2","m"
219,"0.m.p.m.p.m","2","m"
220,"p.p.p.p.p.p","6","p"
221,"m.m.p.m.m.p","3","p"
222,"0.m.p.m.p.m","2","m"
223,"p.p.p.p.p.p","6","p"
224,"0.m.p.m.p.m","2","m"
225,"0.m.p.m.p.m","2","m"
226,"m.m.p.m.m.p","3","p"
227,"0.m.p.m.p.m","2","m"
228,"0.m.p.m.p.m","2","m"
229,"p.p.p.p.p.p","6","p"
230,"0.m.p.m.p.m","2","m"
231,"p.p.p.p.p.p","6","p"
232,"p.p.p.p.p.p","6","p"
233,"m.m.p.m.m.p","3","p"
234,"m.m.p.m.m.p","3","p"
235,"m.m.p.m.m.p","3","p"
236,"p.p.p.p.p.p","6","p"
237,"p.p.p.p.p.p","6","p"
238,"m.m.p.m.m.p","3","p"
239,"p.p.p.p.p.p","6","p"
240,"m.m.p.m.m.p","3","p"
241,"0.m.p.m.p.m","2","m"
242,"p.p.p.p.p.p","6","p"
243,"m.m.p.m.m.p","3","p"
244,"p.p.p.p.p.p","6","p"
245,"m.m.p.m.m.p","3","p"
246,"p.p.p.p.p.p","6","p"
247,"0.m.p.m.p.m","2","m"
248,"p.p.p.p.p.p","6","p"
249,"m.m.p.m.m.p","3","p"
250,"m.m.p.m.m.p","3","p"
251,"m.m.p.m.m.p","3","p"
252,"0.m.p.m.p.m","2","m"
253,"0.m.p.m.p.m","2","m"
254,"0.m.p.m.p.m","2","m"
255,"0.m.p.m.p.m","2","m"
256,"p.p.p.p.p.p","6","p"
257,"0.m.p.m.p.m","2","m"
258,"0.m.p.m.p.m","2","m"
259,"m.m.p.m.m.p","3","p"
260,"m.m.p.m.m.p","3","p"
261,"p.p.p.p.p.p","6","p"
262,"0.m.p.m.p.m","2","m"
263,"p.p.p.p.p.p","6","p"
264,"0.m.p.m.p.m","2","m"
265,"m.m.p.m.m.p","3","p"
266,"0.m.p.m.p.m","2","m"
267,"m.m.p.m.m.p","3","p"
268,"p.p.p.p.p.p","6","p"
269,"p.p.p.p.p.p","6","p"
270,"m.m.p.m.m.p","3","p"
271,"m.m.p.m.m.p","3","p"
272,"p.p.p.p.p.p","6","p"
273,"0.m.p.m.p.m","2","m"
274,"p.p.p.p.p.p","6","p"
275,"m.m.p.m.m.p","3","p"
276,"p.p.p.p.p.p","6","p"
277,"m.m.p.m.m.p","3","p"
278,"0.m.p.m.p.m","2","m"
279,"p.p.p.p.p.p","6","p"
280,"p.p.p.p.p.p","6","p"
281,"m.m.p.m.m.p","3","p"
282,"0.m.p.m.p.m","2","m"
283,"0.m.p.m.p.m","2","m"
284,"0.m.p.m.p.m","2","m"
285,"0.m.p.m.p.m","2","m"
286,"m.m.p.m.m.p","3","p"
287,"p.p.p.p.p.p","6","p"
288,"m.m.p.m.m.p","3","p"
289,"m.m.p.m.m.p","3","p"
290,"0.m.p.m.p.m","2","m"
291,"0.m.p.m.p.m","2","m"
292,"p.p.p.p.p.p","6","p"
293,"p.p.p.p.p.p","6","p"
294,"m.m.p.m.m.p","3","p"
295,"m.m.p.m.m.p","3","p"
296,"0.m.p.m.p.m","2","m"
297,"m.m.p.m.m.p","3","p"
298,"0.m.p.m.p.m","2","m"
299,"p.p.p.p.p.p","6","p"
300,"m.m.p.m.m.p","3","p"
301,"p.p.p.p.p.p","6","p"
302,"p.p.p.p.p.p","6","p"
303,"0.m.p.m.p.m","2","m"
304,"0.m.p.m.p.m","2","m"
305,"0.m.p.m.p.m","2","m"
306,"m.m.p.m.m.p","3","p"
307,"0.m.p.m.p.m","2","m"
308,"p.p.p.p.p.p","6","p"
309,"m.m.p.m.m.p","3","p"
310,"p.p.p.p.p.p","6","p"
311,"p.p.p.p.p.p","6","p"
312,"m.m.p.m.m.p","3","p"
313,"p.p.p.p.p.p","6","p"
314,"0.m.p.m.p.m","2","m"
315,"m.m.p.m.m.p","3","p"
316,"0.m.p.m.p.m","2","m"
317,"0.m.p.m.p.m","2","m"
318,"m.m.p.m.m.p","3","p"
319,"p.p.p.p.p.p","6","p"
320,"p.p.p.p.p.p","6","p"
321,"p.p.p.p.p.p","6","p"
322,"p.p.p.p.p.p","6","p"
323,"m.m.p.m.m.p","3","p"
324,"m.m.p.m.m.p","3","p"
325,"m.m.p.m.m.p","3","p"
326,"0.m.p.m.p.m","2","m"
327,"p.p.p.p.p.p","6","p"
328,"m.m.p.m.m.p","3","p"
329,"0.m.p.m.p.m","2","m"
330,"0.m.p.m.p.m","2","m"
331,"m.m.p.m.m.p","3","p"
332,"0.m.p.m.p.m","2","m"
333,"p.p.p.p.p.p","6","p"
334,"p.p.p.p.p.p","6","p"
335,"m.m.p.m.m.p","3","p"
336,"0.m.p.m.p.m","2","m"
337,"p.p.p.p.p.p","6","p"
338,"0.m.p.m.p.m","2","m"
339,"p.p.p.p.p.p","6","p"
340,"m.m.p.m.m.p","3","p"
341,"m.m.p.m.m.p","3","p"
342,"m.m.p.m.m.p","3","p"
343,"p.p.p.p.p.p","6","p"
344,"0.m.p.m.p.m","2","m"
345,"p.p.p.p.p.p","6","p"
346,"m.m.p.m.m.p","3","p"
347,"m.m.p.m.m.p","3","p"
348,"0.m.p.m.p.m","2","m"
349,"m.m.p.m.m.p","3","p"
350,"0.m.p.m.p.m","2","m"
351,"0.m.p.m.p.m","2","m"
352,"p.p.p.p.p.p","6","p"
353,"p.p.p.p.p.p","6","p"
354,"c.m.p.c.m.p","4","p"
355,"c.m.p.c.m.p","4","p"
356,"c.m.p.c.m.p","4","p"
357,"c.c.p.c.c.p","5","p"
358,"c.c.p.c.c.p","5","p"
359,"c.c.p.c.c.p","5","p"
360,"p.p.p.p.p.p","6","p"
361,"p.p.p.p.p.p","6","p"
362,"p.p.p.p.p.p","6","p"
363,"NA","7",NA
364,"NA","7",NA
365,"NA","7",NA
366,"NA","7",NA
367,"NA","7",NA
368,"NA","7",NA
369,"NA","7",NA
370,"NA","7",NA
371,"NA","7",NA
372,"NA","7",NA
373,"NA","7",NA
374,"NA","7",NA
375,"NA","7",NA
376,"NA","7",NA
377,"NA","7",NA
378,"NA","7",NA
379,"NA","7",NA
380,"NA","7",NA
381,"NA","7",NA
382,"NA","7",NA
383,"NA","7",NA
384,"NA","7",NA
385,"NA","7",NA
386,"NA","7",NA
387,"0.c.p.c.p.c","1","c"
388,"0.c.p.c.p.c","1","c"
389,"0.c.p.c.p.c","1","c"
390,"0.c.p.c.p.c","1","c"
391,"0.c.p.c.p.c","1","c"
392,"0.c.p.c.p.c","1","c"
393,"0.c.p.c.p.c","1","c"
394,"0.c.p.c.p.c","1","c"
395,"0.c.p.c.p.c","1","c"
396,"0.c.p.c.p.c","1","c"
397,"0.c.p.c.p.c","1","c"
398,"0.c.p.c.p.c","1","c"
399,"0.c.p.c.p.c","1","c"
400,"0.c.p.c.p.c","1","c"
401,"0.c.p.c.p.c","1","c"
402,"0.c.p.c.p.c","1","c"
403,"0.c.p.c.p.c","1","c"
404,"0.c.p.c.p.c","1","c"
405,"0.c.p.c.p.c","1","c"
406,"0.c.p.c.p.c","1","c"
407,"0.c.p.c.p.c","1","c"
408,"0.c.p.c.p.c","1","c"
409,"0.c.p.c.p.c","1","c"
410,"0.c.p.c.p.c","1","c"
411,"0.c.p.c.p.c","1","c"
412,"0.c.p.c.p.c","1","c"
413,"0.c.p.c.p.c","1","c"
414,"0.c.p.c.p.c","1","c"
415,"0.c.p.c.p.c","1","c"
416,"0.c.p.c.p.c","1","c"
417,"0.c.p.c.p.c","1","c"
418,"0.c.p.c.p.c","1","c"
419,"0.c.p.c.p.c","1","c"
