"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
96,"2002","06","05","07","10",3154,"3",1,"GA Green twin","0","A","whole kernel accept","premium",NA,200,0,0,0,0.4,0.4
97,"2002","06","05","07","10",3354,"3",3,"GA Green twin","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
98,"2002","06","05","07","10",3364,"3",3,"GA Green diamond","0","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
99,"2002","06","05","07","10",2164,"2",1,"GA Green diamond","0","A","whole kernel accept","premium",NA,199.9,0,0,0,1.4,1.4
100,"2002","06","05","07","10",6264,"6",2,"GA Green diamond","0","A","whole kernel accept","premium",NA,200.1,0,0,2.7,23.7,26.4
101,"2002","06","05","07","10",6154,"6",1,"GA Green twin","0","A","whole kernel accept","premium",NA,200.1,0,0,3.7,17,20.7
102,"2002","06","05","07","10",6184,"6",1,"AT 201","0","A","whole kernel accept","premium",NA,200,0,0,5.1,50.2,55.3
103,"2002","06","05","07","10",6274,"6",2,"GA 982508","0","A","whole kernel accept","premium",NA,199.9,0,0,0,0.5,0.5
104,"2002","06","05","07","10",6174,"6",1,"GA 982508","0","A","whole kernel accept","premium",NA,200.1,0,0,1.5,10.2,11.7
105,"2002","06","05","07","10",2174,"2",1,"GA 982508","0","A","whole kernel accept","premium",NA,200.1,0,0,0.3,3.2,3.5
106,"2002","06","05","07","10",3274,"3",2,"GA 982508","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
107,"2002","06","05","07","10",2284,"2",2,"AT 201","0","A","whole kernel accept","premium",NA,200,3.4,10.2,53.8,262.4,329.8
108,"2002","06","05","07","10",3384,"3",3,"AT 201","0","A","whole kernel accept","premium",NA,200.1,1.2,3.6,139.5,801.3,945.6
109,"2002","06","05","07","10",3174,"3",1,"GA 982508","0","A","whole kernel accept","premium",NA,200,0,0,0,0.3,0.3
110,"2002","06","05","07","10",3284,"3",2,"AT 201","0","A","whole kernel accept","premium",NA,200,7.3,24.9,15.9,89.4,137.5
111,"2002","06","05","07","10",6284,"6",2,"AT 201","0","A","whole kernel accept","premium",NA,199.8,27.8,69.7,51.3,243.7,392.5
112,"2002","06","05","07","10",3184,"3",1,"AT 201","0","A","whole kernel accept","premium",NA,200,0.3,1.8,1.2,6.4,9.7
113,"2002","06","05","07","10",2384,"2",3,"AT 201","0","A","whole kernel accept","premium",NA,199.8,18.6,40.6,121.6,678.4,859.2
114,"2002","06","05","07","10",6384,"6",3,"AT 201","0","A","whole kernel accept","premium",NA,199.9,0,0,4.5,25.8,30.3
115,"2002","06","05","07","10",3374,"3",3,"GA 982508","0","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
116,"2002","06","05","07","10",2374,"2",3,"GA 982508","0","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
117,"2002","06","05","07","10",2184,"2",1,"AT 201","0","A","whole kernel accept","premium",NA,199.8,0,0,0.4,4,4.4
118,"2002","06","05","07","10",2274,"2",2,"GA 982508","0","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
119,"2002","06","05","07","10",6374,"6",3,"GA 982508","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
120,"2002","06","05","07","10",2273,"2",2,"GA 982508","50","R","whole kernel reject","reject",252.7,252.7,0,0,1.6,17.4,19
121,"2002","06","05","07","10",6373,"6",3,"GA 982508","50","R","whole kernel reject","reject",226.9,226.9,0,0,0.3,1.8,2.1
122,"2002","06","05","07","10",2383,"2",3,"AT 201","50","R","whole kernel reject","reject",242.9,242.9,0,0,0.8,5.2,6
123,"2002","06","05","07","10",3373,"3",3,"GA 982508","50","R","whole kernel reject","reject",236.4,236.4,0,0,0.3,3.1,3.4
124,"2002","06","05","07","10",6383,"6",3,"AT 201","50","R","whole kernel reject","reject",253.9,253.9,0,0,0.4,3.8,4.2
125,"2002","06","05","07","10",6173,"6",1,"GA 982508","50","R","whole kernel reject","reject",228.9,228.9,0,0,0.1,0.4,0.5
126,"2002","06","05","07","10",3173,"3",1,"GA 982508","50","R","whole kernel reject","reject",283.5,283.5,0,0,0.3,2.2,2.5
127,"2002","06","05","07","10",3183,"3",1,"AT 201","50","R","whole kernel reject","reject",271.7,271.7,0,0,3.6,26.8,30.4
128,"2002","06","05","07","10",3283,"3",2,"AT 201","50","R","whole kernel reject","reject",222.7,222.7,0,0,1.1,7,8.1
129,"2002","06","05","07","10",3273,"3",2,"GA 982508","50","R","whole kernel reject","reject",264.1,264.1,0,0,0.3,2,2.3
