"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
104,"06-05-2002","07-10-2002","12-02-2003","6",1,"GA 982508","0",6174,"A","whole kernel accept","accept",NA,200.1,0,0,1.5,10.2,11.7
105,"06-05-2002","07-10-2002","12-02-2003","2",1,"GA 982508","0",2174,"A","whole kernel accept","accept",NA,200.1,0,0,0.3,3.2,3.5
106,"06-05-2002","07-10-2002","12-02-2003","3",2,"GA 982508","0",3274,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
107,"06-05-2002","07-10-2002","12-02-2003","2",2,"AT 201","0",2284,"A","whole kernel accept","accept",NA,200,3.4,10.2,53.8,262.4,329.8
108,"06-05-2002","07-10-2002","12-02-2003","3",3,"AT 201","0",3384,"A","whole kernel accept","accept",NA,200.1,1.2,3.6,139.5,801.3,945.6
109,"06-05-2002","07-10-2002","12-02-2003","3",1,"GA 982508","0",3174,"A","whole kernel accept","accept",NA,200,0,0,0,0.3,0.3
110,"06-05-2002","07-10-2002","12-02-2003","3",2,"AT 201","0",3284,"A","whole kernel accept","accept",NA,200,7.3,24.9,15.9,89.4,137.5
111,"06-05-2002","07-10-2002","12-02-2003","6",2,"AT 201","0",6284,"A","whole kernel accept","accept",NA,199.8,27.8,69.7,51.3,243.7,392.5
112,"06-05-2002","07-10-2002","12-02-2003","3",1,"AT 201","0",3184,"A","whole kernel accept","accept",NA,200,0.3,1.8,1.2,6.4,9.7
113,"06-05-2002","07-10-2002","12-02-2003","2",3,"AT 201","0",2384,"A","whole kernel accept","accept",NA,199.8,18.6,40.6,121.6,678.4,859.2
114,"06-05-2002","07-10-2002","12-02-2003","6",3,"AT 201","0",6384,"A","whole kernel accept","accept",NA,199.9,0,0,4.5,25.8,30.3
115,"06-05-2002","07-10-2002","12-02-2003","3",3,"GA 982508","0",3374,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
116,"06-05-2002","07-10-2002","12-02-2003","2",3,"GA 982508","0",2374,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
