date,max temperature, min temperature, total precipitation
5/25/2020,87.8,68,0.03
5/26/2020,80.6,69.8,0.13
5/27/2020,77,69.8,0.27
5/28/2020,80.6,69.8,0.06
5/29/2020,87.8,66.2,0.06
5/30/2020,86,68,0.25
5/31/2020,86,68,0.07
6/1/2020,89.6,69.8,0.02
6/2/2020,82.4,59,0
6/3/2020,84.2,60.8,0
6/4/2020,86,62.6,0.04
6/5/2020,82.4,68,0.17
6/6/2020,87.8,69.8,0.04
6/7/2020,82.4,69.8,0.52
6/8/2020,78.8,69.8,0
6/9/2020,87.8,69.8,0.18
6/10/2020,87.8,69.8,0.6
6/11/2020,89.6,71.6,0.08
6/12/2020,87.8,73.4,0.17
6/13/2020,86,68,0.65
6/14/2020,86,62.6,0
6/15/2020,84.2,62.6,0
6/16/2020,80.6,62.6,0
6/17/2020,69.8,55.4,0
6/18/2020,78.8,60.8,0.09
6/19/2020,87.8,66.2,0.18
6/20/2020,89.6,62.6,0.17
6/21/2020,87.8,66.2,0.08
6/22/2020,89.6,68,0.03
6/23/2020,89.6,68,0.04
6/24/2020,89.6,69.8,0.29
6/25/2020,89.6,69.8,0.22
6/26/2020,86,68,0.04
6/27/2020,89.6,71.6,0
6/28/2020,91.4,71.6,0.17
6/29/2020,95,73.4,0
6/30/2020,93.2,73.4,0
7/1/2020,95,69.8,0.29
7/2/2020,91.4,69.8,0.12
7/3/2020,91.4,71.6,0.06
7/4/2020,91.4,69.8,0.11
7/5/2020,89.6,68,0.03
7/6/2020,84.2,71.6,0.18
7/7/2020,84.2,71.6,1.04
7/8/2020,84.2,73.4,0.41
7/9/2020,86,71.6,0.06
7/10/2020,87.8,73.4,0.09
7/11/2020,91.4,73.4,0.11
7/12/2020,93.2,68,0.02
7/13/2020,91.4,71.6,0
7/14/2020,91.4,69.8,0
7/15/2020,95,73.4,0
7/16/2020,93.2,69.8,0.24
7/17/2020,91.4,69.8,0
7/18/2020,93.2,69.8,0
7/19/2020,91.4,71.6,0.01
7/20/2020,91.4,71.6,0
7/21/2020,95,73.4,0
7/22/2020,91.4,69.8,0.08
7/23/2020,91.4,71.6,0.1
7/24/2020,89.6,69.8,0.08
7/25/2020,89.6,71.6,0.12
7/26/2020,89.6,69.8,0.24
7/27/2020,89.6,69.8,0.09
7/28/2020,95,71.6,0.14
7/29/2020,87.8,73.4,0.09
7/30/2020,86,71.6,0.2
7/31/2020,86,71.6,0.36
8/1/2020,91.4,71.6,0
8/2/2020,95,73.4,0
8/3/2020,95,74,0.04
8/4/2020,93,71,0.26
8/5/2020,94,71,0.13
8/6/2020,94,74,0.22
8/7/2020,93,72,0.43
8/8/2020,93,73,0.46
8/9/2020,93,72,0.18
8/10/2020,94,72,0.43
8/11/2020,93,72,0.51
8/12/2020,89.6,72,0.16
8/13/2020,92,73,0.16
8/14/2020,92,74,0.24
8/15/2020,90,74,0.23
8/16/2020,90,74,0.15
8/17/2020,92,73,0.04
8/18/2020,93,72,0.02
8/19/2020,92,69,0.68
8/20/2020,90,70,0.1
8/21/2020,89,71,0.23
8/22/2020,85,69.8,0.02
8/23/2020,78.8,69.8,0.14
8/24/2020,82.4,73.4,0.19
8/25/2020,82.4,71.6,0.8
8/26/2020,91.4,73.4,0.01
8/27/2020,91.4,69.8,0.07
8/28/2020,91.4,73.4,0
8/29/2020,91.4,73.4,0
8/30/2020,86,73.4,0.1
8/31/2020,89.6,69.8,0.13
9/1/2020,86,71.6,0.23
9/2/2020,91.4,73.4,0.08
9/3/2020,91.4,73.4,0
9/4/2020,91.4,69.8,0
9/5/2020,95,69.8,0
9/6/2020,95,71.6,0.08
9/7/2020,84.2,69.8,0.15
9/8/2020,87.8,69.8,0.18
9/9/2020,86,69.8,0.12
9/10/2020,82.4,71.6,0.21
9/11/2020,87.8,71.6,0.16
9/12/2020,86,73.4,0.13
9/13/2020,87.8,71.6,0.14
9/14/2020,82.4,71.6,0.26
9/15/2020,87.8,73.4,0.07
9/16/2020,80.6,68,0.68
9/17/2020,77,68,1.24
9/18/2020,84.2,68,0.33
9/19/2020,77,68,0.01
9/20/2020,73.4,59,0.01
9/21/2020,71.6,57.2,0.01
9/22/2020,73.4,53.6,0
9/23/2020,77,53.6,0
9/24/2020,75.2,59,0.01
9/25/2020,84.2,62.6,0.09
9/26/2020,86,68,0.18
9/27/2020,86,68,0
9/28/2020,78.8,69.8,0.22
9/29/2020,86,69.8,0.22
9/30/2020,82.4,51.8,0.4
10/1/2020,73.4,50,0
10/2/2020,80.6,51.8,0
10/3/2020,71.6,51.8,0
10/4/2020,71.6,51.8,0
10/5/2020,77,53.6,0.03
10/6/2020,75.2,53.6,0.08
10/7/2020,78.8,64.4,0.02
10/8/2020,86,64.4,0
10/9/2020,87.8,64.4,0
10/10/2020,82.4,64.4,0.2
10/11/2020,87.8,71.6,0.24
10/12/2020,86,69.8,0.03
10/13/2020,80.6,60.8,0
10/14/2020,87.8,60.8,0
10/15/2020,86,60.8,0
10/16/2020,86,64.4,0
10/17/2020,82.4,50,0
10/18/2020,71.6,51.8,0
10/19/2020,78.8,57.2,0
10/20/2020,80.6,57.2,0
10/21/2020,80.6,62.6,0.04
10/22/2020,82.4,68,0.21
10/23/2020,80.6,66.2,0.07
10/24/2020,82.4,60.8,0.02
10/25/2020,80.6,62.6,0.23
