Date,MaxTf,MinTf,Rain (in),MaxTc,MinTc
2004-08-06,96,76,0,35.6,24.4
2004-08-07,92,69,0,33.3,20.6
2004-08-08,90,66,0,32.2,18.9
2004-08-09,90,69,0,32.2,20.6
2004-08-10,89,70,0,31.7,21.1
2004-08-11,81,69,0.82,27.2,20.6
2004-08-12,85,70,0.1,29.4,21.1
2004-08-13,79,69,0.33,26.1,20.6
2004-08-14,81,67,0,27.2,19.4
2004-08-15,86,68,0.29,30.0,20.0
2004-08-16,89,71,0,31.7,21.7
2004-08-17,86,72,0,30.0,22.2
2004-08-18,90,71,0.12,32.2,21.7
2004-08-19,88,70,0,31.1,21.1
2004-08-20,92,71,0,33.3,21.7
2004-08-21,94,73,0,34.4,22.8
2004-08-22,89,71,0.35,31.7,21.7
2004-08-23,89,71,0,31.7,21.7
2004-08-24,89,70,0,31.7,21.1
2004-08-25,90,71,0.07,32.2,21.7
2004-08-26,90,70,0,32.2,21.1
2004-08-27,90,70,0,32.2,21.1
2004-08-28,92,70,0,33.3,21.1
2004-08-29,92,72,0.4,33.3,22.2
2004-08-30,92,72,0.4,33.3,22.2
2004-08-31,90,72,1.3,32.2,22.2
2004-09-01,91,71,0.11,32.8,21.7
2004-09-02,92,70,0,33.3,21.1
2004-09-03,90,70,0.01,32.2,21.1
2004-09-04,88,70,0,31.1,21.1
2004-09-05,90,71,0,32.2,21.7
2004-09-06,86,73,0.8,30.0,22.8
2004-09-07,86,73,6.16,30.0,22.8
2004-09-08,80,72,0.71,26.7,22.2
2004-09-09,85,70,0,29.4,21.1
2004-09-10,90,69,0,32.2,20.6
2004-09-11,90,70,0.82,32.2,21.1
2004-09-12,86,71,0,30.0,21.7
2004-09-13,84,73,0,28.9,22.8
2004-09-14,77,68,0.15,25.0,20.0
2004-09-15,83,68,0,28.3,20.0
2004-09-16,82,74,0,27.8,23.3
2004-09-17,85,76,0.75,29.4,24.4
2004-09-18,87,68,0,30.6,20.0
2004-09-19,86,63,0,30.0,17.2
2004-09-20,81,57,0,27.2,13.9
2004-09-21,76,60,0,24.4,15.6
2004-09-22,80,61,0,26.7,16.1
2004-09-23,85,61,0,29.4,16.1
2004-09-24,88,62,0,31.1,16.7
2004-09-25,84,63,0.14,28.9,17.2
2004-09-26,84,63,0.13,28.9,17.2
2004-09-27,85,69,3.53,29.4,20.6
2004-09-28,85,65,5.45,29.4,18.3
2004-09-29,86,65,0,30.0,18.3
2004-09-30,85,65,0,29.4,18.3
2004-10-01,86,66,0,30.0,18.9
